Country Name,Country Code,Series Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Egypt, Arab Rep.",EGY,Forest area (% of land area),0.062480285,0.059020543,0.055560802,0.05210106,0.048641318,0.045185594,0.045185594,0.045185594,0.045185594,0.045185594
El Salvador,SLV,Annual deforestation (% of change) - (for online table only),0,0,0,0,1.491466745,0,0,0,0,0
El Salvador,SLV,Forest area (% of land area),30.13416988,29.91698842,29.69980695,29.48262548,29.26544402,29.04826255,28.83108108,28.61389961,28.39671815,28.17953668
Equatorial Guinea,GNQ,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.702897006,0,0,0,0,0
Equatorial Guinea,GNQ,Forest area (% of land area),89.96976827,89.67180036,89.37383244,89.07586453,88.77789661,88.4798574,88.18181818,87.88377897,87.58573975,87.28770053
Eritrea,ERI,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.284795955,0,0,0,0,0
Eritrea,ERI,Forest area (% of land area),10.72970297,10.69841584,10.66712871,10.63584158,10.60455446,10.57326733,10.5419802,10.51069307,10.47940594,10.44811881
Estonia,EST,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.03276937,0,0,0,0,0
Estonia,EST,Forest area (% of land area),55.50879925,55.90979004,54.91175523,55.30278353,55.69381182,55.69933287,56.09385783,56.09385783,56.09385783,56.09385783
Eswatini,SWZ,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.82568713,0,0,0,0,0
Eswatini,SWZ,Forest area (% of land area),28.29325581,28.36383721,28.4344186,28.505,28.5755814,28.64651163,28.71686047,28.7872093,28.85755814,28.92790698
Ethiopia,ETH,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.61219897,0,0,0,0,0
Ethiopia,ETH,Forest area (% of land area),15.69728395,15.63261905,15.56793063,15.50310992,15.43780939,15.37274233,15.30842662,15.24350842,15.17886663,15.11422483
Euro area,EMU,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.312135061,0,0,0,0,0
Euro area,EMU,Forest area (% of land area),38.08415339,38.1621392,38.22433934,38.30731285,38.39784134,38.45212739,38.51986001,38.5251932,38.5825437,38.63952141
European Union,EUU,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.268266747,0,0,0,0,0
European Union,EUU,Forest area (% of land area),39.24614145,39.38070518,39.44940723,39.51893313,39.60720739,39.65653743,39.7104992,39.72052633,39.76619064,39.81160243
Faroe Islands,FRO,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Faroe Islands,FRO,Forest area (% of land area),0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659
Fiji,FJI,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.2456852,0,0,0,0,0
Fiji,FJI,Forest area (% of land area),59.10870279,59.47411056,59.83951834,60.20492611,60.57033388,60.93596059,61.3015873,61.66721401,62.03284072,62.39846743
Finland,FIN,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.067744384,0,0,0,0,0
Finland,FIN,Forest area (% of land area),73.30086544,73.41077364,73.52068183,73.63059002,73.73564542,73.73564542,73.73321927,73.73321927,73.73321927,73.73321927
France,FRA,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.705359089,0,0,0,0,0
France,FRA,Forest area (% of land area),30.13823218,30.29054509,30.442858,30.59517091,30.74748382,30.89979673,31.05210964,31.20442255,31.35673546,31.50904837
French Polynesia,PYF,Annual deforestation (% of change) - (for online table only),0,0,0,0,-2.630432701,0,0,0,0,0
French Polynesia,PYF,Forest area (% of land area),40.83606557,40.83606557,40.83606557,40.83606557,40.83606557,40.83606557,40.83606557,42.46022727,42.46022727,42.46022727
Gabon,GAB,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.29678462,0,0,0,0,0
Gabon,GAB,Forest area (% of land area),91.73566189,91.68954865,91.6434354,91.59732216,91.55120891,91.50510343,91.45899794,91.41289246,91.36678698,91.32068149
"Gambia, The",GMB,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.380169905,0,0,0,0,0
"Gambia, The",GMB,Forest area (% of land area),29.07786561,28.51146245,27.94505929,27.37865613,26.81225296,26.24505929,25.67885375,25.11264822,24.54545455,23.97924901
Georgia,GEO,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.147705907,0,0,0,0,0
