Ecuador,ECU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.15093,,,4.72689,4.64307,5.00464,5.26099,4.9987,,,,,
"Egypt, Arab Rep.",EGY,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
El Salvador,SLV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.83868,,3.24284,3.8985,3.71247,3.80149,3.82416,3.90988,3.82524,3.72523,3.59242,,
Equatorial Guinea,GNQ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Eritrea,ERI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,4.04716,3.5239,,,,,,,,,,
Estonia,EST,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.33243,5.22461,5.43131,4.96992,4.68269,4.81267,5.36708,5.10685,5.17054,4.97338,,,
Eswatini,SWZ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.50848,4.83824,4.44087,6.86433,,,7.07032,,,,,,
Ethiopia,ETH,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.98311,3.70029,3.63245,5.48576,5.56678,4.49855,4.60202,4.73792,,,,,
Euro area,EMU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.893635035,5.33506012,5.409160137,5.31856513,5.461319923,5.376790047,5.281619787,,,,,,
Europe & Central Asia,ECS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.176370144,4.680490017,4.569795132,4.993620157,4.933310032,5.040480137,5.123250008,,,,,,
Europe & Central Asia (excluding high income),ECA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.25661993,3.290529966,3.300149918,4.046530008,3.903880119,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
European Union,EUU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.858910084,5.236480236,5.213424921,5.120269775,4.946400166,5.296815157,5.268799782,,,,,,
Faroe Islands,FRO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Fiji,FJI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.85725,5.61714,6.24382,4.17306,,3.88289,,,,,,,
